0,1,2,layer
82,381392.0452222218,2388954.434277778,0
83,382232.14244444406,2388954.434277778,0
84,383072.2396666663,2389602.2287222226,0
85,383912.33688888856,2389602.2287222226,0
86,383072.2396666663,2388954.434277778,0
87,383912.33688888856,2388954.434277778,0
88,381392.0452222218,2388306.6398333334,0
89,382232.14244444406,2388306.6398333334,0
90,381392.0452222218,2387658.845388889,0
91,382232.14244444406,2387658.845388889,0
92,383072.2396666663,2388306.6398333334,0
93,383912.33688888856,2388306.6398333334,0
94,383072.2396666663,2387658.845388889,0
95,383912.33688888856,2387658.845388889,0
96,384752.4341111107,2389602.2287222226,0
97,385592.53133333294,2389602.2287222226,0
98,384752.4341111107,2388954.434277778,0
99,385592.53133333294,2388954.434277778,0
100,386432.6285555552,2389602.2287222226,0
101,387272.72577777744,2389602.2287222226,0
102,386432.6285555552,2388954.434277778,0
103,387272.72577777744,2388954.434277778,0
104,384752.4341111107,2388306.6398333334,0
105,385592.53133333294,2388306.6398333334,0
106,384752.4341111107,2387658.845388889,0
107,385592.53133333294,2387658.845388889,0
108,386432.6285555552,2388306.6398333334,0
109,387272.72577777744,2388306.6398333334,0
110,386432.6285555552,2387658.845388889,0
111,387272.72577777744,2387658.845388889,0
112,388112.82299999957,2389602.2287222226,0
113,388952.9202222218,2389602.2287222226,0
114,388112.82299999957,2388954.434277778,0
115,388952.9202222218,2388954.434277778,0
116,389793.01744444406,2389602.2287222226,0
117,390633.1146666663,2389602.2287222226,0
118,389793.01744444406,2388954.434277778,0
119,390633.1146666663,2388954.434277778,0
120,388112.82299999957,2388306.6398333334,0
121,388952.9202222218,2388306.6398333334,0
122,388112.82299999957,2387658.845388889,0
123,388952.9202222218,2387658.845388889,0
124,389793.01744444406,2388306.6398333334,0
125,390633.1146666663,2388306.6398333334,0
126,389793.01744444406,2387658.845388889,0
127,390633.1146666663,2387658.845388889,0
128,391473.21188888844,2389602.2287222226,0
129,392313.3091111107,2389602.2287222226,0
130,391473.21188888844,2388954.434277778,0
131,392313.3091111107,2388954.434277778,0
132,393153.40633333294,2389602.2287222226,0
133,393993.5035555552,2389602.2287222226,0
134,393153.40633333294,2388954.434277778,0
135,393993.5035555552,2388954.434277778,0
136,391473.21188888844,2388306.6398333334,0
137,392313.3091111107,2388306.6398333334,0
138,391473.21188888844,2387658.845388889,0
139,392313.3091111107,2387658.845388889,0
140,393153.40633333294,2388306.6398333334,0
141,393993.5035555552,2388306.6398333334,0
142,393153.40633333294,2387658.845388889,0
143,393993.5035555552,2387658.845388889,0
144,394833.6007777773,2389602.2287222226,0
145,395673.69799999957,2389602.2287222226,0
146,394833.6007777773,2388954.434277778,0
147,395673.69799999957,2388954.434277778,0
148,396513.7952222218,2389602.2287222226,0
149,397353.89244444406,2389602.2287222226,0
150,396513.7952222218,2388954.434277778,0
151,397353.89244444406,2388954.434277778,0
152,394833.6007777773,2388306.6398333334,0
153,395673.69799999957,2388306.6398333334,0
154,394833.6007777773,2387658.845388889,0
155,395673.69799999957,2387658.845388889,0
156,396513.7952222218,2388306.6398333334,0
157,397353.89244444406,2388306.6398333334,0
158,396513.7952222218,2387658.845388889,0
159,397353.89244444406,2387658.845388889,0
160,398193.9896666662,2389602.2287222226,0
161,399034.08688888844,2389602.2287222226,0
162,398193.9896666662,2388954.434277778,0
163,399034.08688888844,2388954.434277778,0
164,399874.1841111107,2389602.2287222226,0
165,400714.28133333294,2389602.2287222226,0
166,399874.1841111107,2388954.434277778,0
167,400714.28133333294,2388954.434277778,0
168,398193.9896666662,2388306.6398333334,0
169,399034.08688888844,2388306.6398333334,0
170,398193.9896666662,2387658.845388889,0
171,399034.08688888844,2387658.845388889,0
172,399874.1841111107,2388306.6398333334,0
173,400714.28133333294,2388306.6398333334,0
174,399874.1841111107,2387658.845388889,0
175,400714.28133333294,2387658.845388889,0
176,401554.3785555551,2389602.2287222226,0
177,402394.4757777773,2389602.2287222226,0
178,401554.3785555551,2388954.434277778,0
179,402394.4757777773,2388954.434277778,0
180,403234.57299999957,2388954.434277778,0
181,404074.6702222218,2388954.434277778,0
182,401554.3785555551,2388306.6398333334,0
183,402394.4757777773,2388306.6398333334,0
184,401554.3785555551,2387658.845388889,0
185,402394.4757777773,2387658.845388889,0
186,403234.57299999957,2388306.6398333334,0
187,404074.6702222218,2388306.6398333334,0
188,403234.57299999957,2387658.845388889,0
189,404074.6702222218,2387658.845388889,0
190,404914.7674444439,2388306.6398333334,0
191,405754.86466666614,2388306.6398333334,0
192,404914.7674444439,2387658.845388889,0
193,405754.86466666614,2387658.845388889,0
194,406594.9618888884,2387658.845388889,0
195,407435.05911111063,2387658.845388889,0
196,352828.7396666664,2385067.667611111,0
197,353668.8368888887,2385067.667611111,0
198,355349.03133333306,2385715.4620555555,0
199,354508.9341111108,2385067.667611111,0
200,355349.03133333306,2385067.667611111,0
201,356189.1285555553,2385715.4620555555,0
202,357029.22577777755,2385715.4620555555,0
203,356189.1285555553,2385067.667611111,0
204,357029.22577777755,2385067.667611111,0
205,357869.3229999997,2385715.4620555555,0
206,357869.3229999997,2385067.667611111,0
